partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
4,12,1,4228,CVE-2017-1000427,v2:e7fe9714-0f4e-41fa-99eb-49e2c124f6df,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2017-1000427""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2017-1000427""}}"
4,12,1,4230,WS-2019-0026,v2:b65009fd-1711-4310-9666-2e29ba31b496,1,2,"{""WhiteSource"":{""Url"":""https://github.com/markedjs/marked/commit/6d1901ff71abb83aa32ca9a5ce47471382ea42a9""}}"
4,12,1,4229,WS-2019-0027,v2:9a80c9fd-4b3a-4b17-8638-d1352f071d90,1,2,"{""WhiteSource"":{""Url"":""https://github.com/markedjs/marked/commit/b15e42b67cec9ded8505e9d68bb8741ad7a9590d""}}"
4,12,1,4227,CVE-2017-16114,v2:c65031ff-8ebb-449f-bc6b-1371a3af170b,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2017-16114""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2017-16114""}}"
4,12,1,55836,CVE-2020-7020,v6:66bfe345166e429b869f6387c77d017e,0,3,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-7020""}}"
4,12,1,11940,WS-2017-3738,v2:cc57ec27-9f72-4774-9f67-22ead595b4c5,1,2,"{""WhiteSource"":{""Url"":""https://github.com/vuejs/vue/commit/1e37633567f5d015db24ae0210b1adb4b1c3d355""}}"
4,12,1,11941,WS-2018-0162,v2:1d70c401-3276-4f7d-ae27-edd557adeed8,1,2,"{""WhiteSource"":{""Url"":""https://github.com/vuejs/vue/commit/c28f79290d57240c607d8cec3b3413b49702e1fb""}}"
4,12,1,11938,WS-2018-0596,v2:f8ee192f-42a7-4924-9a5b-7878f68946f9,0,2,"{""WhiteSource"":{""Url"":""https://github.com/vuejs/vue/commit/cd334070f3b82d3f5892c4999cc290ccd4f56fd8""}}"
4,12,1,11939,WS-2018-0163,v2:a1543e98-c281-4f54-aa86-d25cfbd84868,1,2,"{""WhiteSource"":{""Url"":""https://github.com/RetireJS/retire.js/commit/650167fe315b6b0f05f1e770dd0b4e6829a36cfb""}}"
4,12,1,82376,CVE-2022-0654,v6:9025a61f7f744f9fb51523621fa1aa32,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-0654""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-0654""}}"
